state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,date,time,percentWithoutPower
L,ACADIA,6698,2,100.0,1753205427273,30.216405750798724,-92.52246006389775,Entergy,2025-07-22,5:30,0.0
L,ALLEN,155,0,100.0,1753205427273,30.605661764705882,-92.68816176470588,Entergy,2025-07-22,5:30,0.0
L,ASCENSION,46593,3,100.0,1753205427273,30.258093385214007,-90.84015564202333,Entergy,2025-07-22,5:30,0.0
L,ASSUMPTION,10498,0,100.0,1753205427273,29.852919254658385,-91.12534161490683,Entergy,2025-07-22,5:30,0.0
L,AVOYELLES,5751,0,100.0,1753205427273,31.22366515837104,-92.00380090497738,Entergy,2025-07-22,5:30,0.0
L,BEAUREGARD,7,0,100.0,1753205427273,30.51493670886076,-93.52405063291138,Entergy,2025-07-22,5:30,0.0
L,BIENVILLE,7373,0,100.0,1753205427273,32.30282122905028,-93.09335195530726,Entergy,2025-07-22,5:30,0.0
L,BOSSIER,40,0,100.0,1753205427273,32.62642228739003,-93.46624633431084,Entergy,2025-07-22,5:30,0.0
L,CALCASIEU,88383,5,100.0,1753205427273,30.221415384615383,-93.57326153846154,Entergy,2025-07-22,5:30,0.0
L,CALDWELL,6270,0,100.0,1753205427273,32.13552,-91.95332,Entergy,2025-07-22,5:30,0.0
L,CAMERON,1858,0,100.0,1753205427273,29.893855421686748,-93.4987951807229,Entergy,2025-07-22,5:30,0.0
L,CATAHOULA,58,0,100.0,1753205427273,31.577897727272727,-91.82761363636364,Entergy,2025-07-22,5:30,0.0
L,CLAIBORNE,4623,0,100.0,1753205427273,32.65868932038835,-92.98533980582523,Entergy,2025-07-22,5:30,0.0
L,CONCORDIA,5110,0,100.0,1753205427273,31.40584051724138,-91.651875,Entergy,2025-07-22,5:30,0.0
L,EAST BATON ROUGE,189044,15,100.0,1753205427273,30.503923357664235,-90.9984306569343,Entergy,2025-07-22,5:30,0.0
L,EAST CARROLL,3404,1,100.0,1753205427273,32.777184986595174,-91.26310991957105,Entergy,2025-07-22,5:30,0.0
L,EAST FELICIANA,4354,0,100.0,1753205427273,30.8390780141844,-91.01302600472813,Entergy,2025-07-22,5:30,0.0
L,FRANKLIN,7253,4,100.0,1753205427273,32.16216839677047,-91.68659746251441,Entergy,2025-07-22,5:30,0.0
L,GRANT,1210,0,100.0,1753205427273,31.590555555555554,-92.48346560846561,Entergy,2025-07-22,5:30,0.0
L,IBERIA,6197,1,100.0,1753205427273,29.968079470198678,-91.6541059602649,Entergy,2025-07-22,5:30,0.0
L,IBERVILLE,9371,1,100.0,1753205427273,30.252775119617226,-91.38511961722489,Entergy,2025-07-22,5:30,0.0
L,JACKSON,9085,0,100.0,1753205427273,32.21722972972973,-92.75439189189188,Entergy,2025-07-22,5:30,0.0
L,JEFFERSON,217641,366,100.0,1753205427273,29.6015737704918,-90.08645901639343,Entergy,2025-07-22,5:30,0.0
L,JEFFERSON DAVIS,12341,45,100.0,1753205427273,30.266525821596247,-92.66793427230047,Entergy,2025-07-22,5:30,0.0
L,LASALLE,5970,0,100.0,1753205427273,31.61041338582677,-92.25734251968504,Entergy,2025-07-22,5:30,0.0
L,LAFAYETTE,17440,0,100.0,1753205427273,30.222664359861593,-92.08692041522491,Entergy,2025-07-22,5:30,0.0
L,LAFOURCHE,43185,0,100.0,1753205427273,29.609287410926367,-90.40995249406176,Entergy,2025-07-22,5:30,0.0
L,LINCOLN,9194,0,100.0,1753205427273,32.684820512820515,-92.74358974358974,Entergy,2025-07-22,5:30,0.0
L,LIVINGSTON,24076,5,100.0,1753205427273,30.404145161290323,-90.7923064516129,Entergy,2025-07-22,5:30,0.0
L,MADISON,5682,0,100.0,1753205427273,32.32744303797468,-91.32559493670887,Entergy,2025-07-22,5:30,0.0
L,MOREHOUSE,12545,1,100.0,1753205427273,32.71818540433925,-91.82836291913216,Entergy,2025-07-22,5:30,0.0
L,NATCHITOCHES,755,0,100.0,1753205427273,31.914509151414308,-92.99229617304493,Entergy,2025-07-22,5:30,0.0
L,ORLEANS,194851,68,100.0,1753205427273,30.0334496124031,-89.86143410852713,Entergy,2025-07-22,5:30,0.0
L,OTHER,1,0,100.0,1753205427273,,,Entergy,2025-07-22,5:30,0.0
L,OUACHITA,82222,166,100.0,1753205427273,32.5634,-92.03646666666667,Entergy,2025-07-22,5:30,0.0
L,PLAQUEMINES,13485,0,100.0,1753205427273,29.632186046511627,-89.81465116279071,Entergy,2025-07-22,5:30,0.0
